attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 183, Loss: 0.0397, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 184, Loss: 0.0233, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 185, Loss: 0.0219, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 186, Loss: 0.0921, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 187, Loss: 0.0273, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 188, Loss: 0.0647, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 189, Loss: 0.0358, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 190, Loss: 0.0840, Val F1: 0.4615, Val Acc: 0.6667, Val Prec: 0.6667, Val Rec: 0.3529
Epoch: 191, Loss: 0.0594, Val F1: 0.4615, Val Acc: 0.6667, Val Prec: 0.6667, Val Rec: 0.3529
Epoch: 192, Loss: 0.0974, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 193, Loss: 0.0808, Val F1: 0.6250, Val Acc: 0.7143, Val Prec: 0.6667, Val Rec: 0.5882
Epoch: 194, Loss: 0.0959, Val F1: 0.6471, Val Acc: 0.7143, Val Prec: 0.6471, Val Rec: 0.6471
Epoch: 195, Loss: 0.1497, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 196, Loss: 0.0930, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 197, Loss: 0.0715, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 198, Loss: 0.0501, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 199, Loss: 0.0391, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 200, Loss: 0.0899, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Saved submission to submission.csv


STDERR:

